Symbol,Description,Price,Price - Currency,"Return on invested capital %, Trailing 12 months","Price to earning to growth, Trailing 12 months",Performance % 1 year,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months","Gross profit growth %, TTM YoY",Sector,Analyst Rating
MACTER,MACTER INTERNATIONAL LTD,95,PKR,11.3160912929304,0.3965550643523424,-3.061224489795918,0.010527423939367425,243,0.11797834636112056,4352046890,PKR,12.4093788779309,7.6555,PKR,31.289658720631095,1.88421,5.318654103191144,Health Technology,
BWHL,BALUCHISTAN WHEELS LTD,149.99,PKR,9.26576651929741,0.381835866587543,114.27142857142859,-4.574373329940194,6402,2.4629707998307233,2000004298,PKR,10.316603272644734,14.5387,PKR,28.313593278378903,9.0006,-20.939412535451876,Producer Manufacturing,
ICL,ITTEHAD CHEMICALS LTD,44.49,PKR,17.323711446036,0.34478357694944894,15.558441558441565,-1.3744180891154898,16129,0.9693083408955689,4449000168,PKR,3.00267264186599,14.8168,PKR,8.830226374627248,7.30501,10.626294826554771,Process Industries,
GGL,GHANI GLOBAL HOLDINGS LTD,10.02,PKR,5.12577225688867,0.2980790416329651,-2.7184466019417584,-1.085883514313931,1245430,0.44619780840253304,3548278538,PKR,7.071776413296633,1.4169,PKR,23.984949247462374,0,0.6774693255305023,Process Industries,
NRSL,NIMIR RESINS LTD,17.8,PKR,11.5066758706625,0.29309646000919615,39.0625,0.16882386043894843,3284,0.032784201289405436,2515515307,PKR,6.952581829544567,2.5602,PKR,23.681159420289866,0,13.34093533335251,Process Industries,
KOHC,KOHAT CEMENT CO LTD,235.38,PKR,18.558897256941,0.2735485032911763,38.45882352941177,3.6687954195111137,86790,2.3362989084350647,46101833187,PKR,6.651670406311993,35.3866,PKR,23.455696114208372,0,12.00906387414707,Non-Energy Minerals,
CPHL,CITI PHARMA LIMITED,28.66,PKR,15.029496678699,0.27239975905586256,27.095343680709533,-1.5458605290278231,804129,0.5035542156037323,6547690000,PKR,8.123813033249242,3.5279,PKR,30.29139121763858,8.72296,1.3589427119369852,Health Technology,Strong buy
COLG,COLGATE-PALMOLIVE (PAKISTAN) LTD,1195.93,PKR,53.0852338198317,0.22663031587687407,6.220856389167677,2.469347362288059,32327,2.273731150123796,290339867665,PKR,18.95809951365507,63.0828,PKR,81.63620815253539,3.9718,53.43164192878665,Consumer Non-Durables,
BIFO,BIAFO INDUSTRIES LTD,102.22,PKR,19.1876131268201,0.20912934775954334,52.33979135618481,0.07832386919913677,8619,0.5127030676525355,4741238282,PKR,8.138535031847134,12.56,PKR,38.88581728111109,5.1849,68.49243888056286,Process Industries,
CPPL,CHERAT PACKAGING LTD,118.07,PKR,11.1510772103017,0.2067034900568831,13.692826191622533,-0.7648344259539509,17165,1.8439342994338659,5796693170,PKR,5.353628787260476,22.0542,PKR,26.09965979587754,2.54087,-21.01564695312497,Process Industries,
SITC,SITARA CHEMICALS INDUSTRIES LTD,324.15,PKR,5.13702680123929,0.1743957719216147,40.93478260869564,8.49846030258401,5236,3.4960272417707148,6946379901,PKR,6.9340013134279825,46.7479,PKR,36.64581567332146,3.08499,28.130705550962066,Process Industries,
PABC,PAKISTAN ALUMINIUM BEVERAGE CANS LIMITED,73,PKR,38.0146048166001,0.1732239594811595,48.97959183673469,-0.23233565668990255,334556,0.5905899897895345,26360900000,PKR,5.757143195135608,12.6799,PKR,33.312656391277834,4.79452,18.197848017719405,Process Industries,Strong buy
PAEL,PAK ELEKTRON LTD,24.89,PKR,4.07607257323148,0.17036934204942936,160.62827225130889,-3.7881716273676083,8515899,1.0748340228836293,21306141791,PKR,12.607638537128965,1.9742,PKR,76.91549421991219,0,28.29715807497884,Producer Manufacturing,Strong buy
PIOC,PIONEER CEMENT LTD,163.39,PKR,8.07354538067856,0.13709447459635596,92.22352941176469,-2.8885586924219995,1035685,0.8993928901515096,37113842900,PKR,9.95552035096271,16.412,PKR,74.77796000085193,6.12033,15.833822789257393,Non-Energy Minerals,Strong buy
TSML,TANDLIANWALA SUGAR MILLS LTD,69.85,PKR,15.408244231908,0.11433517338002125,-10.632036847492326,0,5,0.006389776357827476,8221785325.999999,PKR,5.5603760517747824,12.5621,PKR,48.632244019025514,0,35.58047402709733,Process Industries,
MARI,MARI PETROLEUM COMPANY LTD,2719.58,PKR,38.2308903318732,0.112962707051089,77.634225996081,1.2848779179763732,47861,0.8237665274818331,362798771413,PKR,5.377512200137621,505.732,PKR,47.00041623744603,5.73618,52.23707564527137,Energy Minerals,Buy
FEROZ,FEROZSONS LABORATORIES LTD,248.63,PKR,4.93585924831631,0.1098257655147259,80.82181818181819,-1.180445151033386,28164,0.35903365334971893,10807710452,PKR,21.883939337927877,11.3613,PKR,201.64078056551173,0,35.24117784725246,Health Technology,
OLPM,OLP MODARABA ,13.61,PKR,8.60602139895465,0.10143805495913767,20.977777777777774,-0.8017492711370351,11190,0.757293774490231,617669771,PKR,3.7632030083503842,3.6166,PKR,37.39837398373984,14.6951,63.017170032481154,Finance,
LUCK,LUCKY CEMENT LTD,946.44,PKR,14.4266837184795,0.10096968463606235,85.21330724070451,-1.129276573517884,100018,0.27138192927051824,277306920715,PKR,4.547870270083256,208.1062,PKR,45.55639565260269,1.90186,36.19932203445762,Non-Energy Minerals,Strong buy
TGL,TARIQ GLASS INDUSTRIES LTD,113.64,PKR,21.2435311072308,0.10086395453857991,57.505197505197486,-3.931016992137971,807337,1.4477649438162756,19565079429,PKR,5.1409648583113166,22.1048,PKR,53.05489392344764,5.27983,32.34134355210168,Process Industries,
BERG,BERGER PAINTS PAKISTAN LTD,73.78,PKR,8.6844274768913,0.09629150100241698,40.64495688649895,0.4766444232602401,41211,1.121152846886501,1811420922,PKR,6.248464984713364,11.8077,PKR,64.58330429449565,0,22.98659209573369,Process Industries,
PPL,PAKISTAN PETROLEUM LTD,119.76,PKR,19.9094076925017,0.08454200505874025,99.89984977466202,-2.5152625152625068,4235086,0.8309875661865213,325863077121,PKR,2.8711024592325507,41.7122,PKR,34.836901533199935,4.17502,29.050597631277753,Energy Minerals,Strong buy
OGDC,OIL & GAS DEVELOPMENT CO LTD,131.21,PKR,21.1567528875156,0.07807220291916685,70.33623263663509,1.516441005802714,11098685,1.8351876353621577,564324885038,PKR,2.390369294840147,54.8911,PKR,30.160058806791252,6.74491,1.2560703448457955,Energy Minerals,Strong buy
MTL,MILLAT TRACTORS LTD,658.41,PKR,101.934360157275,0.06940513397359568,76.35982054677231,-0.5407936675780662,106636,0.5341363711725845,126281869460,PKR,14.053545243233206,46.8501,PKR,203.58665647153353,6.07524,130.64517919822208,Producer Manufacturing,
BUXL,BUXLY PAINTS LTD,95,PKR,5.16863296136452,0.06728441762742195,21.019108280254777,-1.87977690559801,1106,0.3756665874121124,136800005,PKR,16.09978477129832,5.9007,PKR,243.86363636363635,0,30.012147909310592,Process Industries,
ATLH,ATLAS HONDA LTD,487.53,PKR,37.3494666789805,0.06689756163456693,87.51153846153845,-0.9024940545155303,8109,1.022031206674901,60496591482,PKR,6.2315939628198045,78.2352,PKR,93.99962804537849,6.15347,26.42065613354963,Consumer Durables,
EPQL,ENGRO POWERGEN QADIRPUR LTD,27.75,PKR,18.8976878536467,0.0664831137187625,16.596638655462183,-0.5376344086021455,229658,1.30487796563174,8959545687,PKR,3.380230221085328,8.2095,PKR,51.11826967326277,18.0701,56.820113097087784,Utilities,Neutral
FHAM,FIRST HABIB MODARABA,16.01,PKR,15.9757553314883,0.061808281663151235,1.586294416243666,0.06250000000000977,6955,0.2784494907437064,1774396294,PKR,2.309578765147144,6.932,PKR,37.343477571722936,12.4922,65.98176190211646,Finance,
PHDL,PAKISTAN HOTELS DEVELOPERS LTD,427.53,PKR,0.837112012929559,0.05820209052717563,455.23376623376623,-0.5952242553884076,1586,0.43164684429687283,7695540000,PKR,44.917106175537384,9.5182,PKR,776.3649756007734,2.57292,13.402346827360304,Consumer Services,
EFERT,ENGRO FERTILIZERS LTD,165.47,PKR,64.8929293240018,0.056971399163883205,96.87091017251636,0.3517496512826809,902250,0.7068778648237989,220951979516,PKR,6.783670323543399,24.3924,PKR,118.65414093243811,15.1085,96.53437536116238,Process Industries,Strong buy
SGF,SERVICE GLOBAL FOOTWEAR LIMITED,78.58,PKR,18.3124104380655,0.05485913590105439,156.3784665579119,-0.8829465186680158,93296,0.5182250281758752,16181000000,PKR,12.707396746337205,6.1838,PKR,233.70028600723117,6.36294,49.55172932174923,Consumer Non-Durables,Strong buy
AIRLINK,AIR LINK COMMUNICATION LIMITED,80.37,PKR,20.6382320559837,0.05324819329590149,286.39423076923083,2.722392638036822,17995732,2.136950677728991,31767788785,PKR,10.304506699147382,7.7995,PKR,188.38972083564434,5.5991,86.00926324677242,Distribution Services,
MEBL,MEEZAN BANK LTD,242.49,PKR,14.4312865262893,0.0509635711066425,175.5568181818182,4.072961373390562,3177696,2.368647673184798,434361021562,PKR,4.559762619310874,53.1804,PKR,,9.89732,,Finance,
KTML,KOHINOOR TEXTILES MILLS LTD,81.01,PKR,12.6731840640949,0.043051147467455454,55.78846153846155,1.3511822844989343,5053,0.2338388349244987,21815950559,PKR,2.509308074018548,32.2838,PKR,57.50961144396087,0,16.516289168389566,Non-Energy Minerals,
KOHTM,KOHAT TEXTILE MILLS LTD,15.94,PKR,4.33578697375031,0.042096199471533396,22.61538461538461,-8.232584916522748,10025,7.984230646702772,331551979,PKR,1.7788193281999776,8.961,PKR,46.04690581351762,0,47.434805469936606,Process Industries,
AGTL,AL-GHAZI TRACTORS LTD,351.81,PKR,64.0909639269026,0.03854401370922398,34.793103448275865,-0.11356860963629009,4405,0.5915689671380417,20392384732,PKR,6.302929757833201,55.8169,PKR,163.71144151677933,0,114.6103494853288,Producer Manufacturing,
ISL,INTERNATIONAL STEELS LTD,86.88,PKR,21.8903144109034,0.03683598075303772,112.68053855569153,-0.42406876790831466,2458278,1.7596241558624506,37792798805,PKR,7.558134477028943,11.4949,PKR,206.05729804568935,9.2081,29.581111040006103,Process Industries,Strong buy
FATIMA,FATIMA FERTILIZER COMPANY LTD,48.77,PKR,21.3855976798887,0.033243543635114996,72.45403111739745,-1.3551779935274972,144179,1.0174473172032918,102417000961,PKR,3.7432170022027957,13.0289,PKR,114.14671027760883,9.22698,44.19048579215008,Process Industries,Strong buy
FABL,FAYSAL BANK LTD,44.41,PKR,4.94385005103671,0.03249869874520669,111.67778836987605,0.22568269013765357,3961982,0.8620840504435037,67400902808,PKR,2.862151414963619,15.5163,PKR,,11.2587,,Finance,
HUBC,HUB POWER CO LTD,145.46,PKR,30.09606799377,0.031699258152478295,116.81323595170666,0.45580110497237325,2838233,1.0375312380748993,188684090489,PKR,2.5687392939763716,56.627,PKR,80.66700060299969,12.0308,42.12030193408701,Utilities,Buy
HABSM,HABIB SUGAR MILLS LTD,64,PKR,26.5145439791135,0.02960890621044574,93.82192610539065,-0.7136208501396119,34987,1.3138880752273872,9600000000,PKR,3.258606029439469,19.6403,PKR,110.84594739667205,9.375,49.33497536945813,Process Industries,
FRSM,FARAN SUGAR MILLS LTD,55.92,PKR,12.6416246294204,0.02941833735256843,-3.586206896551721,5.132543711223922,1000,0.08132196994339991,1398399925,PKR,3.731930967285541,14.9842,PKR,120.66416316913336,4.47067,17501.06896581955,Process Industries,
PTL,PANTHER TYRES LIMITED,38.45,PKR,9.79294052863872,0.028910108790807243,82.22748815165878,1.4511873350923596,612632,3.0547807364399424,6459600000,PKR,7.32967326241946,5.2458,PKR,249.90661686232656,5.20156,78.2010791329267,Consumer Durables,
INIL,INTERNATIONAL INDUSTRIES LTD,192.07,PKR,11.2805939855581,0.028731169201134252,163.1095890410959,1.688903007200338,3579239,3.4379885527140335,25330551056,PKR,7.285672560094375,26.3627,PKR,249.3691855071696,2.08257,21.42573728087689,Non-Energy Minerals,
THALL,THAL LIMITED,440.83,PKR,19.2184155620781,0.024356041169761127,166.81394504297302,-4.288071561943636,381,0.020623355815136784,35720419641,PKR,4.079398496240601,108.0625,PKR,174.9940834124332,1.92818,-29.94929440522236,Producer Manufacturing,
HCAR,HONDA ATLAS CARS (PAKISTAN) LTD,297.13,PKR,10.043679059291,0.023718926976793953,219.49462365591398,-3.8507588260039407,457492,0.5183933717007793,42430165604,PKR,18.179982623380116,16.3438,PKR,797.1729703024648,0,-37.04690215214679,Consumer Durables,
WAHN,WAH NOBEL CHEMICALS LTD,194.03,PKR,31.8736382081607,0.022687921335800446,21.26875,1.8476720382132228,9172,15.582738702004756,1746269989,PKR,2.8705507794411576,67.5933,PKR,124.22797886209607,5.15384,87.76736079191187,Process Industries,
LPL,LALPIR POWER LTD,24.99,PKR,27.763667164894,0.021862492083205398,80.82489146164977,0.4017677782241778,2058797,1.669124253299298,9492169391,PKR,1.8977969152256624,13.1679,PKR,86.45870208578185,68.0272,69.55461289700719,Utilities,
BIPL,BANKISLAMI PAKISTAN LTD,21.4,PKR,7.90206497203083,0.01797146174709653,26.328217237308127,0.6585136406396849,880014,0.97881957127495,23726249064,PKR,1.9720049023673272,10.8519,PKR,,12.8505,,Finance,
PPP,PAKISTAN PAPER PRODUCT LTD,73.43,PKR,14.106651548518,0.016997205604097974,83.57500000000002,-2.7803521779425315,7220,0.7597041152393278,587440002,PKR,3.462258412821154,21.2087,PKR,209.5211686928095,10.2138,86.61005255184222,Consumer Services,
HALEON,HALEON PAKISTAN LTD,285.76,PKR,16.4366125898248,0.01448398151742145,110.27225901398086,-2.4643320363164816,9384,0.18530988655101255,33449498499,PKR,24.930206588498045,11.4624,PKR,1764.714494875549,0,54.993499515515275,Health Technology,
JSML,JAUHARABAD SUGAR MILLS LTD,20.3,PKR,4.31966268731328,0.013937521870163616,54.84363081617087,0.6944444444444473,1506,0.13453996444428562,692807633,PKR,2.0094235033259427,10.1024,PKR,143.17935632958617,4.92611,33.23890713574364,Process Industries,
DYNO,DYNEA PAKISTAN CO LTD,237.14,PKR,34.6909311572983,0.01324972136622501,75.65925925925924,7.017464687034606,51525,1.697900567779268,4475400992,PKR,3.4563071702997195,68.6108,PKR,243.7535384507473,10.5423,89.5203513345239,Process Industries,
SAZEW,SAZGAR ENGINEERING WORKS LIMITED,802.06,PKR,96.5277866345095,0.012478068620374752,1540.2044989775052,-5.940988835725687,2371994,1.3410439408971266,48481287331,PKR,9.85441861436598,81.3909,PKR,839.6208771545007,1.49615,630.6083460938826,Consumer Durables,Strong buy
EXIDE,EXIDE PAKISTAN LTD,556.66,PKR,25.7716483812938,0.010869864251283943,90.63045786103214,8.500146184582402,117783,4.584797916690995,4324478747,PKR,3.2288076508576933,172.4042,PKR,273.77118129628667,1.79643,98.1199032636552,Producer Manufacturing,
FIBLM,FIRST IBL MODARABA,3,PKR,8.22164801639052,0.010475921280429635,15.384615384615381,11.111111111111104,186,0.02988335850390412,65062500,PKR,3.8865137971239796,0.7719,PKR,333.89544688026984,0,,Finance,
JDWS,J.D.W. SUGAR MILLS LTD,510.41,PKR,35.492190304233,0.008945734327174309,27.602500000000006,0.8715415019762895,465,0.24647514046432736,29484680521,PKR,2.957526944025959,172.58,PKR,327.7510230283623,7.83684,107.0833770847997,Consumer Non-Durables,
SURC,SURAJ COTTON MILLS LTD,135.58,PKR,4.95985331938945,0.0074148457209817845,33.158928438269655,0,11,0.0023664565540089926,6617594392,PKR,8.999787584302481,15.0648,PKR,1213.7525071945581,0.67052,60.61410137345047,Process Industries,
ADAMS,ADAM SUGAR MILLS LTD,42.69,PKR,6.57516577357153,0.00654255184774253,32.94923699781999,2.349556461280261,25249,2.499406058206296,738153108,PKR,1.9220119669894782,22.2111,PKR,287.0271306347906,11.7123,114.94284322231532,Process Industries,
THCCL,THATTA CEMENT COMPANY LTD,36.2,PKR,21.8549912836734,0.00205787432108121,216.7104111986002,-1.763907734056984,242068,0.9476704035628661,3066796168,PKR,3.5021525661490838,10.3365,PKR,1732.3878744903382,0,227.34852800802875,Non-Energy Minerals,